City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Nara,JP,34.6851,135.8049,71.91,58,100,4.05,overcast clouds
287,Kontagora,NG,10.3999,5.4695,76.78,72,100,4.5,overcast clouds
288,Sainte-Rose,GP,16.3324,-61.6979,78.84,78,0,13.98,clear sky
289,Nantucket,US,41.2835,-70.0995,72.09,85,1,14.97,clear sky
290,Bam,IR,29.106,58.357,89.29,8,0,6.62,clear sky
291,Ishigaki,JP,24.3448,124.1572,82.29,84,99,27.45,moderate rain
292,Kabare,CD,-2.4683,28.8242,59.29,96,100,1.01,overcast clouds
293,Gotsu,JP,35.0,132.2167,72.05,57,100,5.86,overcast clouds
294,Ekibastuz,KZ,51.6667,75.3667,57.87,41,0,3.18,clear sky
295,Nerchinskiy Zavod,RU,51.3088,119.61,65.84,45,0,3.49,clear sky
296,Aksarka,RU,66.5606,67.7975,42.85,53,5,15.23,clear sky
297,San Quintin,MX,30.4833,-115.95,64.98,71,2,9.62,clear sky
298,Nicoya,CR,10.1483,-85.452,81.95,76,97,3.98,overcast clouds
299,Sorong,ID,-0.8833,131.25,81.37,80,98,13.47,overcast clouds
300,Safford,US,32.834,-109.7076,97.72,8,75,31.07,broken clouds
301,Ceglie Messapica,IT,40.6439,17.5155,69.48,53,81,3.04,broken clouds
302,Sozimskiy,RU,59.7418,52.2482,53.82,78,10,4.99,clear sky
303,Andros Town,BS,24.7,-77.7667,82.36,82,9,14.94,clear sky
304,Nanortalik,GL,60.1432,-45.2371,40.98,81,100,5.93,overcast clouds
305,Pacific Grove,US,36.6177,-121.9166,81.25,81,75,3.0,broken clouds
306,Seoul,KR,37.5683,126.9778,73.81,73,75,4.94,broken clouds
307,Xochihuehuetlan,MX,17.9167,-98.4333,75.99,63,100,1.14,overcast clouds
308,Luwingu,ZM,-10.2621,29.9271,52.99,92,24,4.38,few clouds
309,Ulaangom,MN,49.9811,92.0667,53.15,26,99,20.67,overcast clouds
310,Marrakesh,MA,31.6315,-8.0083,69.87,52,0,5.75,clear sky
311,Cobija,BO,-11.0267,-68.7692,73.96,68,6,2.62,clear sky
312,Puerto Carreno,CO,6.189,-67.4859,76.32,83,10,6.98,clear sky
313,Penzance,GB,50.1186,-5.5371,56.41,96,100,5.26,overcast clouds
314,Waipawa,NZ,-41.4122,175.5153,60.1,79,100,3.09,overcast clouds
315,Olafsvik,IS,64.8945,-23.7142,48.31,80,79,9.82,light rain
316,Tiksi,RU,71.6872,128.8694,42.06,60,85,7.0,overcast clouds
317,Zhezkazgan,KZ,47.8043,67.7144,57.79,43,11,14.79,few clouds
318,Kankon,IN,15.0167,74.0167,79.63,83,98,6.17,overcast clouds
319,Westerland,DE,54.9079,8.3033,60.19,94,90,9.22,light rain
320,Bay Roberts,CA,47.5999,-53.2648,55.06,93,100,1.99,overcast clouds
321,Maniitsoq,GL,65.4167,-52.9,39.04,95,100,11.18,light rain
322,Vernon,CA,50.2581,-119.2691,67.98,37,100,4.0,overcast clouds
323,Mezen,RU,65.8522,44.24,41.99,70,27,7.92,scattered clouds
324,Fort Nelson,CA,58.8053,-122.7002,64.98,41,100,10.58,overcast clouds
325,Fortuna,US,40.5982,-124.1573,68.18,68,20,5.99,few clouds
326,Piranhas,BR,-16.4269,-51.8222,73.08,48,100,3.6,overcast clouds
327,Gushikawa,JP,26.3544,127.8686,83.79,84,40,19.19,scattered clouds
328,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.99,87,0,10.38,clear sky
329,Shache,CN,38.4167,77.2406,77.34,22,0,6.67,clear sky
330,Laramie,US,41.3114,-105.5911,69.73,48,1,13.8,clear sky
331,Hefei,CN,31.8639,117.2808,84.22,54,0,2.24,clear sky
332,Lucapa,AO,-8.4192,20.7447,62.58,51,6,4.54,clear sky
